Show,Season,User_Ratings,Audience_Score,Critic_Ratings,Tomatometer
Younger,1,463,88,37,97
Younger,2,113,93,8,100
Younger,3,67,84,8,100
Younger,4,47,90,7,100
Younger,5,46,84,9,100
Younger,6,21,67,8,100
Pretty Little Liars,1,176,86,11,100
Love Life,1,130,82,47,64
Poldark,1,12,92,23,91
Poldark,2,16,94,10,80
Poldark,3,185,89,17,100
Poldark,4,56,95,16,81
Poldark,5,36,47,21,86
Medici,1,88,83,6,50
Rome,1,230,95,36,83
Rome,2,29,100,28,89
Doc Martin,4,6,100,6,100
Doc Martin,6,5,100,8,88
Doc Martin,7,5,100,10,80
Doc Martin,8,5,100,6,83
Doc Martin,9,6,100,5,60
Attack on Titan,1,210,97,6,83
Attack on Titan,2,184,96,7,100
Attack on Titan,3,175,94,6,100
The Addams Family,1,15,93,6,100
Van Helsing,1,360,53,11,82
Penny Dreadful,1,228,46,32,75
Legacies,1,323,86,11,82
Servant,1,382,82,59,83
Castle Rock,1,1374,80,76,87
Castle Rock,2,217,79,35,89
Grimm,1,288,81,36,53
Grimm,2,196,92,11,100
Grimm,3,352,94,10,100
Grimm,4,274,95,5,100
Grimm,5,225,92,5,100
Grimm,6,139,90,6,83
The Twilight Zone,1,739,38,88,70
The Twilight Zone,2,45,53,23,65
The Mandalorian,1,7621,93,35,93
The Mandalorian,2,265,92,52,94
Castlevania,1,1214,91,25,80
Castlevania,2,433,90,13,100
Castlevania,3,281,83,16,100
The Purge,1,271,63,38,42
iZombie,1,1446,89,53,91
iZombie,2,490,89,14,100
iZombie,3,291,86,10,100
iZombie,4,211,73,12,92
iZombie,5,79,66,7,71
The Order,1,595,72,6,100
The Order,2,217,75,5,100
Preacher,1,2342,86,71,89
Preacher,2,646,83,24,91
Preacher,3,252,86,13,92
Preacher,4,102,76,11,77
Primal,1,144,99,20,100
The Terror,1,1410,87,59,93
The Terror,2,204,66,43,81
Locke & Key,1,907,68,61,66
Santa Clarita Diet,1,30,83,73,78
Santa Clarita Diet,2,437,95,19,89
Santa Clarita Diet,3,25,96,18,100
Ash vs Evil Dead,1,2189,94,51,98
Ash vs Evil Dead,2,580,94,17,100
Ash vs Evil Dead,3,430,95,15,100
Gravity Falls,1,142,98,10,100
Gravity Falls,2,138,98,7,100
"Love, Death & Robots",1,202,90,43,77
Haven,1,63,85,26,35
Haven,3,33,97,5,60
Haven,4,63,87,5,80
Haven,5,82,81,5,80
NOS4A2,1,137,74,30,70
NOS4A2,2,150,89,8,75
Penny Dreadful: City of Angels,1,228,46,32,75
Scream Queens,1,709,78,74,68
Scream Queens,2,222,72,6,83
Creepshow,1,100,76,29,97
Hemlock Grove,1,225,67,35,26
Hemlock Grove,2,258,77,11,55
Hemlock Grove,3,55,47,6,33
Star Trek: Discovery,1,8604,50,72,82
Star Trek: Discovery,2,2644,36,30,81
Star Trek: Discovery,3,201,54,29,93
Blood of Zeus,1,241,81,17,100
The Last Kingdom,1,2114,93,31,87
The Last Kingdom,2,507,97,7,86
The Last Kingdom,3,487,97,7,100
Warrior,1,153,93,24,79
Tom Clancy's Jack Ryan,1,2085,88,83,75
Tom Clancy's Jack Ryan,2,732,55,27,67
24,1,272,94,20,95
24,2,205,90,17,94
24,3,172,88,14,93
24,4,159,89,20,95
24,5,153,91,22,100
24,6,142,69,31,74
24,7,140,82,33,76
24,8,167,82,40,75
Killing Eve,1,2041,90,101,96
Killing Eve,2,776,88,68,92
Killing Eve,3,439,80,49,80
Angel,1,16,94,21,95
Angel,2,36,97,6,100
Angel,4,35,76,6,67
Angel,5,35,88,14,93
NCIS: Los Angeles,1,30,63,30,70
The Sopranos,1,704,97,26,100
The Sopranos,2,438,99,16,94
The Sopranos,3,396,99,11,100
The Sopranos,4,369,97,11,91
The Sopranos,5,365,98,13,92
The Sopranos,6,457,97,37,89
Better Call Saul,1,5178,95,69,97
Better Call Saul,2,2257,96,31,97
Better Call Saul,3,1575,96,39,97
Better Call Saul,4,1286,95,36,99
Better Call Saul,5,720,96,42,99
Narcos,1,2285,95,49,80
Narcos,2,1125,96,26,92
Narcos,3,1270,94,32,97
Blood of Zeus,1,242,81,17,100
The Simpsons,1,296,89,17,100
The Simpsons,2,206,95,7,100
The Simpsons,3,199,94,5,100
The Simpsons,4,194,95,11,100
The Simpsons,5,195,95,5,100
The Simpsons,6,191,97,7,100
The Simpsons,7,163,97,6,100
The Simpsons,8,174,97,7,100
The Simpsons,9,153,93,6,67
The Simpsons,10,144,90,5,100
The Simpsons,12,125,77,5,80
The Simpsons,13,119,78,7,86
The Simpsons,15,125,77,5,80
The Simpsons,20,99,71,5,80
Archer,1,503,95,20,95
Archer,2,360,96,14,100
Archer,3,331,96,11,91
Archer,4,332,95,21,95
Archer,5,545,90,12,100
Archer,6,326,96,11,91
Archer,7,224,89,13,100
Archer,8,219,66,14,86
Archer,9,192,59,12,67
Archer,10,73,73,11,91
Archer,11,24,83,5,80
Family Guy,1,307,74,12,42
Family Guy,4,207,73,5,80
Family Guy,6,171,65,5,60
Family Guy,9,171,60,6,83
Family Guy,10,173,55,6,50
Family Guy,11,205,53,7,100
Family Guy,13,223,64,7,71
Family Guy,14,124,57,5,60
Family Guy,16,140,66,5,100
My Hero Academia,1,92,89,9,100
My Hero Academia,3,62,97,9,100
My Hero Academia,4,46,80,5,100
Demon Slayer: Kimetsu No Yaiba,1,88,89,6,100
Death Note,1,332,95,14,100
Star Wars Rebels,1,786,76,12,92
Star Wars Rebels,2,562,84,6,100
Star Wars Rebels,3,489,83,6,100
Star Wars Rebels,4,382,82,10,100
DuckTales,1,30,93,11,100
Fullmetal Alchemist: Brotherhood,1,106,93,13,100
Harley Quinn,1,470,86,32,88
Harley Quinn,2,95,89,17,100
One Punch Man,1,114,94,12,100
Star Trek: Lower Decks,1,434,42,40,65
Kipo and the Age of Wonderbeasts,1,111,95,9,100
Kipo and the Age of Wonderbeasts,2,29,93,9,100
Kipo and the Age of Wonderbeasts,3,15,100,6,100
The Seven Deadly Sins,1,107,79,8,75
Adventure Time,1,6,67,11,91
King of the Hill,1,15,73,17,82
King of the Hill,5,7,71,5,100
King of the Hill,13,8,57,7,100
Sword Art Online,1,83,68,5,100
Phineas and Ferb,1,40,94,7,100
Phineas and Ferb,4,21,90,5,100
Modern Love,1,171,85,63,75
A Million Little Things,1,339,86,32,53
That '70s Show,1,53,84,7,86
The End of the F***ing World,1,4032,91,52,96
The End of the F***ing World,2,574,89,35,91
Big Mouth,1,1282,77,23,100
Big Mouth,2,977,81,33,100
Big Mouth,3,110,81,28,96
Eureka,1,71,91,17,59
Eureka,4,37,81,13,85
Eureka,5,46,88,9,100
The Nanny,1,12,73,11,91
Will & Grace,1,82,83,32,56
Bewitched,1,8,71,6,100
Happy Endings,1,757,94,35,80
Happy Endings,2,207,84,8,88
Last Tango in Halifax,1,71,97,16,94
Last Tango in Halifax,2,79,85,6,100
Last Tango in Halifax,3,58,90,7,100
The Last Man on Earth,1,909,79,50,84
The Last Man on Earth,2,272,84,14,86
The Last Man on Earth,3,124,79,9,78
The Last Man on Earth,4,113,78,12,92
Love,1,887,86,46,87
Love,2,239,85,27,96
Love,3,159,87,11,100
The Wonder Years,1,16,88,8,100
The Wonder Years,6,9,78,7,100
iCarly,1,12,91,6,100
Ally McBeal,1,13,82,32,84
Ally McBeal,2,10,80,8,38
Ally McBeal,3,9,62,8,38
Ally McBeal,4,8,62,8,100
Ally McBeal,5,8,62,17,47
The Mandalorian,1,7621,93,35,93
The Mandalorian,2,267,92,52,94
The Witcher,1,19742,92,88,67
His Dark Materials,1,1256,81,96,80
The Boys,1,3629,91,101,84
The Boys,2,1639,79,95,97
Star Trek: Discovery,1,8604,50,72,82
Star Trek: Discovery,2,2644,36,30,81
Star Trek: Discovery,3,202,53,29,93
Star Trek: Picard,1,2553,56,66,86
Britannia,1,256,68,37,76
Britannia,2,7,86,7,100
The Outsider,1,873,83,67,91
Carnival Row,1,1443,87,67,55
The Outpost,1,257,88,10,50
Charmed,1,139,36,31,71
Reign,1,430,85,52,58
Reign,2,312,83,7,100
Reign,3,134,88,5,100
American Gods,1,2117,85,89,92
American Gods,2,348,64,27,60
Chuck,1,264,92,27,89
Chuck,2,200,96,10,100
Chuck,3,187,91,17,88
Chuck,4,178,85,20,75
Chuck,5,265,90,21,100
L.A.'s Finest,1,99,63,17,24
Barry,1,1258,89,81,98
Barry,2,898,91,41,100
Lethal Weapon,1,416,91,42,67
