Year,Show,Season,User_Ratings,Audience_Score,Critic_Ratings,Tomatometer
2019,Yellowstone,2,133,87,8,88
2020,Yellowstone,3,61,84,6,83
2015,Fear the Walking Dead,1,1762,62,63,76
2016,Fear the Walking Dead,2,786,59,30,70
2017,Fear the Walking Dead,3,502,78,6,84
2018,Fear the Walking Dead,4,474,65,6,80
2019,Fear the Walking Dead,5,312,43,9,55
2020,Fear the Walking Dead,6,61,85,6,100
2020,Helstrom,1,244,87,26,27
2019,Evil,1,395,84,45,91
2014,NCIS,1,132,65,30,60
2018,Chilling Adventures of Sabrina,1,1524,80,103,91
2019,Chilling Adventures of Sabrina,2,553,76,43,81
2020,Chilling Adventures of Sabrina,3,378,62,29,90
2020,Grand Army,1,43,84,14,71
2014,Outlander,1,2626,93,52,91
2016,Outlander,2,1649,92,25,92
2017,Outlander,3,679,93,15,93
2018,Outlander,4,465,83,10,88
2020,Outlander,5,199,88,5,95
2011,Black Mirror,1,2531,93,16,98
2013,Black Mirror,2,1508,93,9,87
2014,Black Mirror,3,2291,93,65,86
2017,Black Mirror,4,1848,83,96,85
2019,Black Mirror,5,298,46,39,68
2017,Law & Order: Special Victims Unit,1,58,86,39,64
2008,Sons of Anarchy,1,641,91,24,88
2009,Sons of Anarchy,2,451,95,15,93
2010,Sons of Anarchy,3,424,89,20,90
2011,Sons of Anarchy,4,394,93,24,100
2012,Sons of Anarchy,5,362,91,23,83
2013,Sons of Anarchy,6,499,90,25,76
2014,Sons of Anarchy,7,591,86,6,83
2020,The Walking Dead: World Beyond,1,214,27,21,38
2009,The Vampire Diaries,1,543,87,28,71
2010,The Vampire Diaries,2,379,91,12,100
2011,The Vampire Diaries,3,355,89,10,90
2012,The Vampire Diaries,4,332,80,16,69
2013,The Vampire Diaries,5,493,79,13,100
2014,The Vampire Diaries,6,402,83,16,81
2015,The Vampire Diaries,7,375,79,13,77
2016,The Vampire Diaries,8,431,81,16,100
2017,Dark,1,4116,92,45,89
2019,Dark,2,2747,97,29,100
2020,Dark,3,2452,95,29,97
2019,The Witcher,1,19741,92,88,67
2017,Money Heist,1,1493,84,5,100
2018,Money Heist,2,276,88,5,100
2019,Money Heist,3,515,77,12,100
2020,Money Heist,4,149,71,8,75
2015,The Expanse,1,1975,94,44,77
2017,The Expanse,2,1252,97,21,95
2018,The Expanse,3,1797,97,25,100
2019,The Expanse,4,1445,94,33,100
2016,Doctor Who,1,53,71,6,100
2011,Homeland,1,1198,93,31,100
2012,Homeland,2,828,93,42,93
2013,Homeland,3,893,83,40,80
2014,Homeland,4,925,90,46,81
2015,Homeland,5,666,85,27,88
2017,Homeland,6,472,76,28,78
2018,Homeland,7,306,76,20,80
2020,Homeland,8,219,87,26,85
2016,Westworld,1,4952,92,101,87
2018,Westworld,2,2629,74,81,86
2020,Westworld,3,1170,60,60,74
2004,Lost,1,102,98,31,94
2005,Lost,2,698,94,12,100
2006,Lost,3,647,93,17,71
